longitude,latitude,boug,isostatic,resboug
101.4,21.4,-95.412604,-19.276324,-104.18137
101.5,21.4,-101.10829,-21.165196,-110.92474
101.6,21.4,-107.97552,-21.202554,-116.22212
101.7,21.4,-111.32181,-4.3951229,-115.10949
101.8,21.4,-113.3861,11.343041,-112.71486
101.9,21.4,-110.31971,-18.732244,-105.18955
102,21.4,-107.38959,-13.674787,-97.800511
102.1,21.4,-111.21263,-24.663594,-99.748734
102.2,21.4,-117.72608,44.39941,-102.19979
102.3,21.4,-131.80897,-48.954783,-112.22028
102.4,21.4,-142.6494,17.236788,-118.99831
102.5,21.4,-125.02881,-37.807984,-97.315326
102.6,21.4,-106.36081,-25.745926,-76.769582
102.7,21.4,-115.25612,-18.742189,-83.127589
102.8,21.4,-124.07366,-16.587147,-89.407825
102.9,21.4,-102.6195,10.129373,-65.416362
103,21.4,-81.807167,-27.39212,-42.066726
103.1,21.4,-95.776411,17.644253,-53.750324
103.2,21.4,-112.65391,25.39908,-68.795028
103.3,21.4,-110.04864,37.297454,-64.356963
103.4,21.4,-104.42973,-46.095904,-56.905259
103.5,21.4,-100.31161,-8.2762836,-50.954344
103.6,21.4,-97.02911,63.192973,-46.596143
103.7,21.4,-103.48604,-25.110458,-53.19815
103.8,21.4,-108.88687,-26.144648,-58.744056
103.9,21.4,-93.853692,-13.238808,-43.855955
104,21.4,-77.982003,-43.048886,-28.129342
104.1,21.4,-80.924362,10.215244,-33.007117
104.2,21.4,-86.793397,56.969814,-40.308987
104.3,21.4,-91.020889,151.04769,-45.969314
104.4,21.4,-93.011447,93.410473,-49.392707
104.5,21.4,-80.57056,67.78322,-38.384655
104.6,21.4,-65.498614,92.260236,-26.03901
104.7,21.4,-50.950392,48.474632,-13.406529
104.8,21.4,-38.409342,-14.112912,-2.7812204
104.9,21.4,-39.791379,27.723587,-6.0789986
105,21.4,-42.027861,-33.518512,-10.231222
105.1,21.4,-33.240366,-30.329273,-3.7957839
105.2,21.4,-24.891527,-21.084713,3.1764163
105.3,21.4,-25.345684,-20.867079,1.3456205
105.4,21.4,-27.103393,-25.199986,-1.7887272
105.5,21.4,-28.856721,-25.833663,-4.918694
105.6,21.4,-29.965091,-25.710417,-8.2402672
105.7,21.4,-28.584101,-6.1910775,-8.5041789
105.8,21.4,-26.915247,-24.899875,-8.4802265
105.9,21.4,-26.607815,-24.816373,-9.8176962
106,21.4,-26.489767,-24.81029,-11.34455
106.1,21.4,-24.467757,-22.78828,-9.8473839
106.2,21.4,-22.626013,-21.170466,-9.2750023
106.3,21.4,-24.865397,-20.946618,-12.783749
