longitude,latitude,depth,density,variance
102.5,29.0,2.5,2.6163332,0.0077407783
103.0,29.0,2.5,2.6660358,0.0077408792
103.5,29.0,2.5,2.6730913,0.0077411023
104.0,29.0,2.5,2.6634533,0.007741559
104.5,29.0,2.5,2.6296447,0.0077425986
105.0,29.0,2.5,2.6297403,0.0077448269
105.5,29.0,2.5,2.6385607,0.0077503301
106.0,29.0,2.5,2.6630717,0.0077617699
106.5,29.0,2.5,2.6570007,0.007823195
107.0,29.0,2.5,2.6504784,0.0086021619
96.0,29.5,2.5,2.7162143,0.0085972769
96.5,29.5,2.5,2.6912832,0.007818279
97.0,29.5,2.5,2.6558944,0.0077570373
97.5,29.5,2.5,2.6789178,0.0077454068
98.0,29.5,2.5,2.6346305,0.0077397808
98.5,29.5,2.5,2.5810625,0.0077374749
99.0,29.5,2.5,2.6342753,0.0077363878
99.5,29.5,2.5,2.6130224,0.0077359086
100.0,29.5,2.5,2.6466717,0.0077356738
100.5,29.5,2.5,2.6402447,0.007735568
101.0,29.5,2.5,2.6655201,0.0077355201
101.5,29.5,2.5,2.6474809,0.0077355069
102.0,29.5,2.5,2.6396385,0.00773552
102.5,29.5,2.5,2.6660217,0.0077355675
103.0,29.5,2.5,2.5972971,0.0077356732
103.5,29.5,2.5,2.6486484,0.0077359066
104.0,29.5,2.5,2.6263797,0.0077363853
104.5,29.5,2.5,2.6443295,0.0077374675
105.0,29.5,2.5,2.6401484,0.0077397752
105.5,29.5,2.5,2.6324476,0.0077454006
106.0,29.5,2.5,2.6564595,0.007757114
106.5,29.5,2.5,2.6489621,0.0078185886
107.0,29.5,2.5,2.6460268,0.0085987972
96.0,30.0,2.5,2.6322944,0.0085953921
96.5,30.0,2.5,2.6312581,0.0078147858
97.0,30.0,2.5,2.622508,0.0077532665
97.5,30.0,2.5,2.6199557,0.0077412692
98.0,30.0,2.5,2.6315358,0.0077354668
98.5,30.0,2.5,2.618572,0.0077330598
99.0,30.0,2.5,2.6436315,0.0077319209
99.5,30.0,2.5,2.6305977,0.0077314181
100.0,30.0,2.5,2.6470091,0.007731173
100.5,30.0,2.5,2.6449344,0.0077310629
101.0,30.0,2.5,2.6783755,0.0077310134
101.5,30.0,2.5,2.6658992,0.0077309998
102.0,30.0,2.5,2.7302386,0.0077310133
102.5,30.0,2.5,2.6342057,0.0077310625
103.0,30.0,2.5,2.6573622,0.0077311723
103.5,30.0,2.5,2.6534693,0.0077314161
104.0,30.0,2.5,2.6581185,0.0077319184
104.5,30.0,2.5,2.6557888,0.0077330522
105.0,30.0,2.5,2.6395148,0.0077354601
105.5,30.0,2.5,2.6513517,0.0077412592
106.0,30.0,2.5,2.6490216,0.0077533348
